인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
1,1,0.077838753,0.038738316,0.039100437,0.10780125,0.04696105,0.0608402,49.7673908,43.56262123,1.600002441,1.600002441,0.699196777,0.077838753,0.038738316
2,2,0.042319397,0.040375108,0.041044726,0.063569813,0.048941964,0.075468049,95.40567715,76.9893155,1.600002441,1.600002441,0.698890381,0.042319397,0.040375108
3,3,0.042865108,0.041198308,0.042711526,0.064404556,0.049913099,0.089959505,96.11152235,77.4993296,1.600002441,1.600002441,0.69980957,0.042865108,0.041198308
4,4,0.042942943,0.041315629,0.04433884,0.064544135,0.050041539,0.104462101,96.21052206,77.5307307,1.600002441,1.600002441,0.699349976,0.042942943,0.041315629
5,5,0.043671012,0.041356093,0.046653759,0.065568502,0.050179913,0.119850689,94.69918602,76.53051725,1.600002441,1.600002441,0.699962769,0.043671012,0.041356093
6,6,0.04355502,0.041391808,0.048816971,0.065390866,0.050232634,0.135008922,95.03338144,76.81903682,1.600002441,1.600002441,0.69980957,0.04355502,0.041391808
7,7,0.043617753,0.041518819,0.050915905,0.065467772,0.05039384,0.150082854,95.18789019,76.97503389,1.600002441,1.600002441,0.699962769,0.043617753,0.041518819
8,8,0.043667899,0.041719639,0.052864165,0.06553149,0.050626771,0.164987573,95.53846113,77.25563851,1.600002441,1.600002441,0.69980957,0.043667899,0.041719639
9,9,0.043566822,0.041884173,0.054546814,0.065387563,0.050817675,0.179557461,96.13777483,77.71764606,1.600002441,1.600002441,0.699656372,0.043566822,0.041884173
10,10,0.043573379,0.042172668,0.055947525,0.065421846,0.051173429,0.193805878,96.78539714,78.22070514,1.600002441,1.600002441,0.69980957,0.043573379,0.042172668
11,11,0.04374063,0.042051206,0.057636949,0.065587684,0.051084161,0.208309401,96.13763198,77.88681886,1.600002441,1.600002441,0.69980957,0.04374063,0.042051206
12,12,0.04363407,0.042112308,0.059158711,0.065460979,0.051188908,0.222581472,96.51244625,78.19759015,1.600002441,1.600002441,0.699503174,0.04363407,0.042112308
13,13,0.043441683,0.042145037,0.060455357,0.065194871,0.051237681,0.236538663,97.01520291,78.59158233,1.600002441,1.600002441,0.699962769,0.043441683,0.042145037
14,14,0.043486812,0.042266424,0.061675745,0.065274487,0.051397748,0.250415402,97.19365829,78.74094524,1.600002441,1.600002441,0.699656372,0.043486812,0.042266424
15,15,0.043527385,0.042342148,0.062860983,0.065340711,0.051492313,0.264263799,97.27703047,78.80586647,1.600002441,1.600002441,0.699349976,0.043527385,0.042342148
16,16,0.043467159,0.042308216,0.064019926,0.065265493,0.051438001,0.278091291,97.33374959,78.81347186,1.600002441,1.600002441,0.699503174,0.043467159,0.042308216
17,17,0.043475539,0.04231098,0.065184485,0.06527698,0.051438232,0.291930039,97.32134666,78.79995618,1.600002441,1.600002441,0.699503174,0.043475539,0.04231098
18,18,0.043548783,0.042345225,0.066388043,0.065381065,0.051498864,0.305812241,97.23629967,78.76724538,1.600002441,1.600002441,0.699962769,0.043548783,0.042345225
19,19,0.043736109,0.042336018,0.067788133,0.065643437,0.051504865,0.319950813,96.79877686,78.46155987,1.600002441,1.600002441,0.69980957,0.043736109,0.042336018
20,20,0.043651558,0.042362386,0.069077306,0.065524309,0.051547508,0.333927614,97.04667463,78.66928863,1.600002441,1.600002441,0.699503174,0.043651558,0.042362386
21,21,0.043537376,0.042350296,0.070264386,0.065365649,0.051530686,0.347762576,97.27342349,78.83450634,1.600002441,1.600002441,0.699656372,0.043537376,0.042350296
22,22,0.043542902,0.042375677,0.071431611,0.065376448,0.051566746,0.361572279,97.31936797,78.87664036,1.600002441,1.600002441,0.699503174,0.043542902,0.042375677
23,23,0.043559302,0.042393646,0.072597266,0.065401309,0.051594798,0.37537879,97.32398099,78.88954932,1.600002441,1.600002441,0.699962769,0.043559302,0.042393646
24,24,0.043601512,0.04241303,0.073785748,0.065462094,0.051626117,0.389214767,97.2742174,78.8641391,1.600002441,1.600002441,0.699656372,0.043601512,0.04241303
25,25,0.043610282,0.042441781,0.074954249,0.065479883,0.051666248,0.403028402,97.32058494,78.90400226,1.600002441,1.600002441,0.699349976,0.043610282,0.042441781
26,26,0.043568931,0.042388847,0.076134333,0.065410128,0.051601632,0.416836897,97.29145574,78.88936176,1.600002441,1.600002441,0.699962769,0.043568931,0.042388847
27,27,0.043645336,0.04247497,0.077304699,0.065535645,0.051717388,0.430655154,97.3184627,78.91489861,1.600002441,1.600002441,0.699656372,0.043645336,0.04247497
28,28,0.043655241,0.042523329,0.07843661,0.065557096,0.05178037,0.44443188,97.40715727,78.9851491,1.600002441,1.600002441,0.699656372,0.043655241,0.042523329
29,29,0.043640087,0.042513397,0.0795633,0.065530637,0.051767224,0.458195293,97.4182235,78.99697961,1.600002441,1.600002441,0.699656372,0.043640087,0.042513397
30,30,0.043623591,0.042499828,0.080687063,0.065512905,0.051753212,0.471954987,97.42395505,78.99697205,1.600002441,1.600002441,0.69980957,0.043623591,0.042499828
31,31,0.043682086,0.042555642,0.081813508,0.065598137,0.051831256,0.485721868,97.4212668,79.01330477,1.600002441,1.600002441,0.699656372,0.043682086,0.042555642
32,32,0.043710067,0.042583861,0.082939714,0.065634565,0.051882141,0.499474292,97.42346119,79.04697926,1.600002441,1.600002441,0.699503174,0.043710067,0.042583861
33,33,0.043780429,0.042651229,0.084068915,0.06573074,0.051971084,0.513233948,97.4207646,79.06663476,1.600002441,1.600002441,0.69980957,0.043780429,0.042651229
34,34,0.043853643,0.042713858,0.0852087,0.06582996,0.05206299,0.527000918,97.40093266,79.08707613,1.600002441,1.600002441,0.699656372,0.043853643,0.042713858
35,35,0.043860701,0.042750121,0.08631928,0.065836087,0.052106523,0.540730482,97.46793905,79.14583791,1.600002441,1.600002441,0.699503174,0.043860701,0.042750121
36,36,0.0438543,0.042727609,0.087445971,0.065826091,0.052073536,0.554483038,97.43083239,79.10774374,1.600002441,1.600002441,0.699962769,0.0438543,0.042727609
37,37,0.043819668,0.042695751,0.088569887,0.065775272,0.052027475,0.568230834,97.43513164,79.0988376,1.600002441,1.600002441,0.699503174,0.043819668,0.042695751
38,38,0.043811653,0.042690229,0.089691311,0.065766017,0.052020395,0.581976456,97.4403521,79.09920224,1.600002441,1.600002441,0.69980957,0.043811653,0.042690229
39,39,0.04377159,0.0426544,0.090808502,0.065704638,0.051971066,0.595710028,97.44768113,79.09801727,1.600002441,1.600002441,0.69980957,0.04377159,0.0426544
40,40,0.043780833,0.042671701,0.091917634,0.065721959,0.051994344,0.609437643,97.46662721,79.11258993,1.600002441,1.600002441,0.699656372,0.043780833,0.042671701
41,41,0.043766323,0.042649192,0.093034765,0.06570047,0.051961539,0.623176574,97.44751045,79.08853505,1.600002441,1.600002441,0.699503174,0.043766323,0.042649192
42,42,0.043719646,0.042613329,0.094141081,0.065628897,0.051907906,0.636897566,97.46952099,79.09306407,1.600002441,1.600002441,0.699962769,0.043719646,0.042613329
43,43,0.043741053,0.042624019,0.095258115,0.065667808,0.051930419,0.650634955,97.44625702,79.08048206,1.600002441,1.600002441,0.699962769,0.043741053,0.042624019
44,44,0.043693334,0.042575975,0.096375475,0.06559801,0.051865107,0.664367858,97.44272238,79.06506136,1.600002441,1.600002441,0.699962769,0.043693334,0.042575975
45,45,0.043629456,0.042520215,0.097484716,0.065504122,0.051789054,0.678082925,97.45758629,79.06228308,1.600002441,1.600002441,0.69980957,0.043629456,0.042520215
46,46,0.043569456,0.042464248,0.098589924,0.065417907,0.051714647,0.691786185,97.46334214,79.05273871,1.600002441,1.600002441,0.69980957,0.043569456,0.042464248
47,47,0.043596236,0.042499051,0.099687109,0.065468486,0.051761246,0.705493426,97.48330282,79.06284141,1.600002441,1.600002441,0.699656372,0.043596236,0.042499051
48,48,0.043550883,0.042447242,0.100790751,0.065402589,0.051692842,0.719203172,97.46585788,79.03791467,1.600002441,1.600002441,0.699962769,0.043550883,0.042447242
49,49,0.043500289,0.042399274,0.101891766,0.065330423,0.051628748,0.732904848,97.46894741,79.02711365,1.600002441,1.600002441,0.699503174,0.043500289,0.042399274
50,50,0.043472388,0.042388568,0.102975586,0.065297406,0.051615705,0.746586549,97.50687713,79.04709813,1.600002441,1.600002441,0.69980957,0.043472388,0.042388568
51,51,0.043435003,0.042337919,0.104072669,0.065238828,0.051550273,0.760275105,97.47419517,79.01777809,1.600002441,1.600002441,0.699962769,0.043435003,0.042337919
52,52,0.043403121,0.042310129,0.105165661,0.065191983,0.051513776,0.773953312,97.48176624,79.01857462,1.600002441,1.600002441,0.699503174,0.043403121,0.042310129
53,53,0.043399505,0.042316942,0.106248225,0.065192788,0.051525563,0.787620536,97.50558601,79.03568053,1.600002441,1.600002441,0.699962769,0.043399505,0.042316942
54,54,0.043428726,0.0423371,0.10733985,0.065241381,0.051552506,0.801309412,97.4863971,79.01810969,1.600002441,1.600002441,0.699503174,0.043428726,0.0423371
55,55,0.043404761,0.042306317,0.108438295,0.065205799,0.051512563,0.815002648,97.46929961,78.99997177,1.600002441,1.600002441,0.699656372,0.043404761,0.042306317
56,56,0.043340867,0.042262639,0.109516523,0.065109236,0.051456688,0.828655196,97.51221465,79.03131857,1.600002441,1.600002441,0.699962769,0.043340867,0.042262639
57,57,0.043431922,0.042347792,0.110600654,0.06524738,0.051578071,0.842324505,97.5038384,79.05002588,1.600002441,1.600002441,0.699962769,0.043431922,0.042347792
58,58,0.043433253,0.042339745,0.111694161,0.065248242,0.051569116,0.856003631,97.48232654,79.03525788,1.600002441,1.600002441,0.699656372,0.043433253,0.042339745
59,59,0.043454506,0.042357153,0.112791514,0.06527962,0.051596484,0.869686766,97.47470822,79.03919251,1.600002441,1.600002441,0.69980957,0.043454506,0.042357153
60,60,0.043424755,0.04232382,0.11389245,0.065232558,0.05155381,0.883365515,97.46472804,79.03079575,1.600002441,1.600002441,0.69980957,0.043424755,0.04232382
61,61,0.043361663,0.042267777,0.114986337,0.065138836,0.051485275,0.897019075,97.47729529,79.03929334,1.600002441,1.600002441,0.69980957,0.043361663,0.042267777
62,62,0.043497811,0.042431948,0.1160522,0.065353747,0.051712728,0.910660094,97.5496155,79.12741128,1.600002441,1.600002441,0.69980957,0.043497811,0.042431948
63,63,0.043465822,0.042369288,0.117148734,0.065293759,0.05163322,0.924320632,97.47725008,79.07833978,1.600002441,1.600002441,0.699656372,0.043465822,0.042369288
64,64,0.043455216,0.04235611,0.118247839,0.06527817,0.051619927,0.937978875,97.47071734,79.07686072,1.600002441,1.600002441,0.699656372,0.043455216,0.04235611
65,65,0.043445764,0.042338633,0.119354971,0.065267772,0.051616763,0.951629884,97.45169333,79.08460959,1.600002441,1.600002441,0.69980957,0.043445764,0.042338633
66,66,0.043423229,0.042324132,0.120454067,0.065230952,0.051596644,0.965264192,97.4688743,79.09840651,1.600002441,1.600002441,0.69980957,0.043423229,0.042324132
67,67,0.043370026,0.042277561,0.121546532,0.065150377,0.051538253,0.978876316,97.48105974,79.10660798,1.600002441,1.600002441,0.699962769,0.043370026,0.042277561
68,68,0.043367327,0.042270908,0.122642951,0.065149206,0.051531876,0.992493645,97.47178626,79.09824181,1.600002441,1.600002441,0.69980957,0.043367327,0.042270908
69,69,0.043326013,0.042228465,0.123740499,0.065087855,0.051479992,1.006101508,97.46676902,79.09308475,1.600002441,1.600002441,0.69980957,0.043326013,0.042228465
70,70,0.043302154,0.042208096,0.124834557,0.065053318,0.051459184,1.019695643,97.47343262,79.10308808,1.600002441,1.600002441,0.699962769,0.043302154,0.042208096
71,71,0.04326602,0.042168272,0.125932306,0.064995287,0.05140923,1.0332817,97.46279262,79.09685813,1.600002441,1.600002441,0.699962769,0.04326602,0.042168272
72,72,0.043263399,0.04216436,0.127031345,0.064993548,0.051407461,1.046867787,97.45965637,79.09625211,1.600002441,1.600002441,0.699962769,0.043263399,0.04216436
73,73,0.043272719,0.042181832,0.128122231,0.065011041,0.051438224,1.060440604,97.47904308,79.12228995,1.600002441,1.600002441,0.699962769,0.043272719,0.042181832
74,74,0.043256691,0.042161571,0.129217352,0.064985615,0.05141648,1.074009739,97.46832173,79.11978713,1.600002441,1.600002441,0.699656372,0.043256691,0.042161571
75,75,0.043234048,0.042132201,0.130319198,0.064946662,0.051386677,1.087569724,97.45143787,79.12135112,1.600002441,1.600002441,0.699962769,0.043234048,0.042132201
76,76,0.043215723,0.042113749,0.131421173,0.064923476,0.051366518,1.101126682,97.45006131,79.11855854,1.600002441,1.600002441,0.699962769,0.043215723,0.042113749
77,77,0.043150212,0.042061927,0.132509457,0.064824391,0.051297175,1.114653898,97.47791566,79.13252063,1.600002441,1.600002441,0.69980957,0.043150212,0.042061927
78,78,0.043142147,0.042042899,0.133608705,0.06481387,0.051283373,1.128184395,97.45203283,79.12407205,1.600002441,1.600002441,0.69980957,0.043142147,0.042042899
79,79,0.043111618,0.042021856,0.134698468,0.064766379,0.051263558,1.141687216,97.47223025,79.15149631,1.600002441,1.600002441,0.69980957,0.043111618,0.042021856
80,80,0.043107563,0.042011339,0.135794692,0.064761942,0.0512531,1.155196059,97.4570031,79.14076981,1.600002441,1.600002441,0.69980957,0.043107563,0.042011339
81,81,0.043066374,0.041968535,0.13689253,0.064703323,0.051203211,1.168696171,97.45082167,79.13536484,1.600002441,1.600002441,0.699962769,0.043066374,0.041968535
82,82,0.043046308,0.041953843,0.137984995,0.064675093,0.051187818,1.182183446,97.46211692,79.1461071,1.600002441,1.600002441,0.69980957,0.043046308,0.041953843
83,83,0.043048987,0.041957802,0.13907618,0.064680135,0.051199476,1.195664104,97.46524877,79.15796156,1.600002441,1.600002441,0.69980957,0.043048987,0.041957802
84,84,0.043009092,0.041919288,0.140165984,0.064620529,0.051153609,1.209131024,97.46610858,79.15999722,1.600002441,1.600002441,0.699962769,0.043009092,0.041919288
85,85,0.042971704,0.041880436,0.141257252,0.064563667,0.05110894,1.222585751,97.46049474,79.16052811,1.600002441,1.600002441,0.699962769,0.042971704,0.041880436
86,86,0.042990267,0.041904585,0.142342934,0.06459217,0.051150267,1.236027654,97.47458651,79.18957818,1.600002441,1.600002441,0.699962769,0.042990267,0.041904585
87,87,0.042995788,0.041912789,0.143425933,0.064602526,0.051170862,1.249459319,97.48115088,79.20876273,1.600002441,1.600002441,0.699656372,0.042995788,0.041912789
88,88,0.042989132,0.041891275,0.14452379,0.064590567,0.051148366,1.262901521,97.44619831,79.18859964,1.600002441,1.600002441,0.699962769,0.042989132,0.041891275
89,89,0.04296781,0.041876716,0.145614884,0.064560566,0.051135993,1.276326093,97.46067185,79.20623462,1.600002441,1.600002441,0.69980957,0.04296781,0.041876716
90,90,0.042913173,0.041816512,0.146711545,0.064476606,0.051062754,1.289739945,97.44446518,79.1957849,1.600002441,1.600002441,0.69980957,0.042913173,0.041816512
91,91,0.042931698,0.041827386,0.147815857,0.064506671,0.051083666,1.30316295,97.4277464,79.19129094,1.600002441,1.600002441,0.699962769,0.042931698,0.041827386
92,92,0.042919746,0.041824713,0.14891089,0.064493116,0.051087973,1.316568093,97.44865021,79.21461476,1.600002441,1.600002441,0.699962769,0.042919746,0.041824713
93,93,0.042891924,0.041795667,0.150007147,0.064447443,0.051060852,1.329954685,97.44414198,79.22866932,1.600002441,1.600002441,0.699962769,0.042891924,0.041795667
94,94,0.042875908,0.041782208,0.151100847,0.06442586,0.051051396,1.343329149,97.44914996,79.24053478,1.600002441,1.600002441,0.699656372,0.042875908,0.041782208
95,95,0.042883907,0.041790178,0.152194576,0.06444027,0.051073502,1.356695917,97.44955799,79.25711997,1.600002441,1.600002441,0.69980957,0.042883907,0.041790178
96,96,0.042883814,0.041779366,0.153299025,0.064438263,0.051067275,1.370066905,97.42455662,79.2499247,1.600002441,1.600002441,0.69980957,0.042883814,0.041779366
97,97,0.042858591,0.041755561,0.154402055,0.064400615,0.051041565,1.383425955,97.42635004,79.25633137,1.600002441,1.600002441,0.699656372,0.042858591,0.041755561
98,98,0.042768064,0.041662191,0.155507928,0.064262427,0.050929136,1.396759246,97.41425547,79.2518085,1.600002441,1.600002441,0.699962769,0.042768064,0.041662191
99,99,0.042742571,0.041635483,0.156615016,0.064228876,0.050901123,1.410086999,97.40986938,79.24959356,1.600002441,1.600002441,0.699962769,0.042742571,0.041635483
100,100,0.042698779,0.041599335,0.15771446,0.06416885,0.050865588,1.423390261,97.42511563,79.26834919,1.600002441,1.600002441,0.699962769,0.042698779,0.041599335
101,101,0.042646937,0.041543379,0.158818018,0.064090917,0.050801751,1.436679427,97.41233935,79.26513375,1.600002441,1.600002441,0.69980957,0.042646937,0.041543379
102,102,0.042605435,0.041500803,0.159922649,0.064030064,0.050754039,1.449955452,97.40729993,79.26595096,1.600002441,1.600002441,0.699962769,0.042605435,0.041500803
103,103,0.04255749,0.041455555,0.161024584,0.063961876,0.050703883,1.463213445,97.41071525,79.27203848,1.600002441,1.600002441,0.699962769,0.04255749,0.041455555
104,104,0.042520121,0.041424904,0.162119801,0.063906813,0.050673404,1.476446854,97.42423746,79.29264715,1.600002441,1.600002441,0.699962769,0.042520121,0.041424904
105,105,0.04249738,0.04139567,0.163221511,0.063873873,0.050645038,1.489675689,97.40758088,79.28913036,1.600002441,1.600002441,0.699962769,0.04249738,0.04139567
106,106,0.04246674,0.041365137,0.164323115,0.06383089,0.050613806,1.502892772,97.40596171,79.29359358,1.600002441,1.600002441,0.699962769,0.04246674,0.041365137
107,107,0.042456142,0.041368995,0.165410262,0.06382039,0.050635656,1.516077506,97.4393646,79.34087463,1.600002441,1.600002441,0.69980957,0.042456142,0.041368995
108,108,0.04244945,0.04134919,0.166510521,0.063805453,0.050620808,1.529262151,97.4080713,79.33617922,1.600002441,1.600002441,0.69980957,0.04244945,0.04134919
109,109,0.042417532,0.041314589,0.167613465,0.063763112,0.050584905,1.542440358,97.39979438,79.33255333,1.600002441,1.600002441,0.699962769,0.042417532,0.041314589
110,110,0.042334832,0.041240039,0.168708257,0.06363753,0.050495198,1.555582689,97.413967,79.34814364,1.600002441,1.600002441,0.69980957,0.042334832,0.041240039
111,111,0.04229094,0.041194892,0.169804305,0.063577823,0.050447377,1.568713135,97.40831581,79.34744318,1.600002441,1.600002441,0.699962769,0.04229094,0.041194892
112,112,0.042214945,0.041121519,0.170897731,0.063468265,0.050360875,1.581820525,97.40986115,79.34812081,1.600002441,1.600002441,0.699962769,0.042214945,0.041121519
113,113,0.042188177,0.041098881,0.171987026,0.06343363,0.050341065,1.594913089,97.41800757,79.36021546,1.600002441,1.600002441,0.69980957,0.042188177,0.041098881
114,114,0.04213089,0.041041431,0.173076485,0.063345926,0.050276789,1.607982225,97.41410907,79.36862382,1.600002441,1.600002441,0.699962769,0.04213089,0.041041431
115,115,0.042078906,0.040988057,0.174167334,0.063271431,0.050216485,1.621037171,97.40761005,79.36676136,1.600002441,1.600002441,0.699962769,0.042078906,0.040988057
116,116,0.042054956,0.040961502,0.175260788,0.063239175,0.050192672,1.634083674,97.39994008,79.36958644,1.600002441,1.600002441,0.69980957,0.042054956,0.040961502
117,117,0.041984249,0.040893558,0.176351479,0.063134633,0.05011202,1.647106287,97.40214199,79.37326548,1.600002441,1.600002441,0.699962769,0.041984249,0.040893558
118,118,0.041937632,0.040849599,0.177439513,0.063069214,0.050065632,1.660109869,97.40559261,79.38204583,1.600002441,1.600002441,0.699962769,0.041937632,0.040849599
119,119,0.041873774,0.040789468,0.178523819,0.062976055,0.049996271,1.673089653,97.41053659,79.38933397,1.600002441,1.600002441,0.699962769,0.041873774,0.040789468
120,120,0.041832413,0.040745564,0.179610668,0.06291532,0.049948793,1.68605618,97.40189733,79.3905103,1.600002441,1.600002441,0.69980957,0.041832413,0.040745564
121,121,0.041792425,0.040710929,0.180692163,0.062858531,0.049916317,1.698998393,97.41222046,79.41056921,1.600002441,1.600002441,0.699962769,0.041792425,0.040710929
122,122,0.041763002,0.040680225,0.181774941,0.062816673,0.049887942,1.711927125,97.40732918,79.41831206,1.600002441,1.600002441,0.699656372,0.041763002,0.040680225
123,123,0.041684484,0.040605502,0.182853922,0.062699855,0.049801028,1.724825952,97.41155033,79.42766082,1.600002441,1.600002441,0.69980957,0.041684484,0.040605502
124,124,0.041672416,0.040601589,0.18392475,0.062688371,0.049811477,1.737702846,97.43036838,79.45887931,1.600002441,1.600002441,0.69980957,0.041672416,0.040601589
125,125,0.041620543,0.040540532,0.185004761,0.062609974,0.049740967,1.750571852,97.40510232,79.44575678,1.600002441,1.600002441,0.699962769,0.041620543,0.040540532
126,126,0.041565943,0.040489818,0.186080886,0.062532948,0.049686194,1.763418605,97.41104166,79.45602467,1.600002441,1.600002441,0.699962769,0.041565943,0.040489818
127,127,0.041508557,0.040433729,0.187155713,0.062450387,0.049623409,1.776245583,97.41058869,79.46053191,1.600002441,1.600002441,0.69980957,0.041508557,0.040433729
